,SIFSimilarity
Transformation-rotation (34),0.463578164539
Geometry-line-2 (10),0.259422926813
Series-Arithmetic (43),0.512396882011
Geometry-Diagonals (22),0.57225922344
Geometry-axialsymmetry-vertical- (28),0.46571972145
Geometry-Midpoint (19),0.242917144983
Geometry-Convexity (9),0.46477982735
Geometry-line-3 (11),0.249735387769
Geometry-Chirality-4 (44),0.494356739123
Geometry-Parallelogram (25),0.281078339018
Geometry-Proportions (39),0.370371753453
Topology-Inside-Outside (4),0.205897838535
Geometry-Rightangle-3 (15),0.395671452369
Geometry-Equilateraltriangle (20),0.47642415516
Geometry-Chirality-2 (41),0.387478746786
Geometry-Chirality-1- (38),0.42656574971
Transformation-axialsymmetry-vertical (27),0.531368329146
Geometry-Rightangle-1 (13),0.435422249224
Geometry-Circle-2- (18),0.221338937481
Transformation-axialsymmetry-horizontal (33),0.518488413441
Transformation-axialsymmetry-mixed (35),0.528537781803
Geometry-Distance (16),0.19142024019
Topology-Holes (3),0.348655402911
Geometry-Proportion1-3 (21),0.331557679376
Topology-Closure (5),0.507907679607
Transformation-homothety (36),0.434385726951
Geometry-Parallels-1- (37),0.377186233638
Geometry-Trapezoid (26),0.564909371758
Geometry-Chirality-3 (42),0.40683890836
Geometry-line-1 (8),0.162932915905
Geometry-Rectangle (24),0.514336387433
Geometry-Square (23),0.219603095561
Geometry-axialsymmetry-randomaxis (30),0.548970256731
Transformation-translation (31),0.472219890176
Geometry-Rightangle-2 (14),0.414029373041
Topology-Connexity (6),0.411403984505
Geometry-axialsymmetry-horizontal (29),0.513778934868
Topology-Belongsto (7),0.235443950388
Geometry-Quadrilateral (12),0.452115870375
Geometry-Parallels-2 (40),0.0989816767629
Series-Geometric (45),0.463710580025
Transformation-pointsymmetry (32),0.485022022377
