,SIFSimilarity
Transformation-rotation (34),0.63462824557
Geometry-line-2 (10),0.374062839934
Series-Arithmetic (43),0.621803771027
Geometry-Diagonals (22),0.664181795232
Geometry-axialsymmetry-vertical- (28),0.52787209949
Geometry-Midpoint (19),0.351718776439
Geometry-Convexity (9),0.587818530934
Geometry-line-3 (11),0.348418631473
Geometry-Chirality-4 (44),0.691575094663
Geometry-Parallelogram (25),0.493296419037
Geometry-Proportions (39),0.552473756514
Topology-Inside-Outside (4),0.254189102613
Geometry-Rightangle-3 (15),0.525464019104
Geometry-Equilateraltriangle (20),0.56594284888
Geometry-Chirality-2 (41),0.586346454043
Geometry-Chirality-1- (38),0.639506566098
Transformation-axialsymmetry-vertical (27),0.619396310417
Geometry-Rightangle-1 (13),0.556755699398
Geometry-Circle-2- (18),0.305715877064
Transformation-axialsymmetry-horizontal (33),0.609619693414
Transformation-axialsymmetry-mixed (35),0.625999354441
Geometry-Distance (16),0.264082214731
Topology-Holes (3),0.509038063601
Geometry-Proportion1-3 (21),0.493898733954
Topology-Closure (5),0.652917709405
Transformation-homothety (36),0.634084884767
Geometry-Parallels-1- (37),0.321312591955
Geometry-Trapezoid (26),0.696336220791
Geometry-Chirality-3 (42),0.648113568366
Geometry-line-1 (8),0.317752469283
Geometry-Rectangle (24),0.598960135845
Geometry-Square (23),0.342812056205
Geometry-axialsymmetry-randomaxis (30),0.618647462732
Transformation-translation (31),0.65640991095
Geometry-Rightangle-2 (14),0.517013472383
Topology-Connexity (6),0.495587666548
Geometry-axialsymmetry-horizontal (29),0.569627388239
Topology-Belongsto (7),0.189180864577
Geometry-Quadrilateral (12),0.523894310377
Geometry-Parallels-2 (40),0.150394960752
Series-Geometric (45),0.614108847785
Transformation-pointsymmetry (32),0.623388348709
