Transformation-rotation (34),Geometry-line-2 (10),Series-Arithmetic (43),Geometry-Diagonals (22),Geometry-axialsymmetry-vertical- (28),Geometry-Midpoint (19),Geometry-Convexity (9),Geometry-line-3 (11),Geometry-Chirality-4 (44),Geometry-Parallelogram (25),Geometry-Proportions (39),Topology-Inside-Outside (4),Geometry-Rightangle-3 (15),Geometry-Equilateraltriangle (20),Geometry-Chirality-2 (41),Geometry-Chirality-1- (38),Transformation-axialsymmetry-vertical (27),Geometry-Rightangle-1 (13),Geometry-Circle-2- (18),Transformation-axialsymmetry-horizontal (33),Transformation-axialsymmetry-mixed (35),Geometry-Distance (16),Topology-Holes (3),Geometry-Proportion1-3 (21),Topology-Closure (5),Transformation-homothety (36),Geometry-Parallels-1- (37),Geometry-Trapezoid (26),Geometry-Chirality-3 (42),Geometry-line-1 (8),Geometry-Rectangle (24),Geometry-Square (23),Geometry-axialsymmetry-randomaxis (30),Transformation-translation (31),Geometry-Rightangle-2 (14),Topology-Connexity (6),Geometry-axialsymmetry-horizontal (29),Topology-Belongsto (7),Geometry-Quadrilateral (12),Geometry-Parallels-2 (40),Series-Geometric (45),Transformation-pointsymmetry (32)
triangles face opposite directions,curved line,space 3rd 4th dot,shape sharper angles,pattern shapesshapes offset lined middle,dot doesnt bisect line,dent shape,dot lined end line,two short lines opposite side longer line,trapezoid instead parallelagram,large size difference triangles,dot outside shape,center line bisect longer line right angle,equilateral triangle,black circle opposite side line,circle opposite side black line,triangles parallel mirror image,right triangle,white dot center circle,triangles parallel instead mirror image,triangles parallel mirror image,dot far away line,empty space shape,dot closer end line,perimeter connect,triangles arent parallel,lines arent parallel,bases 1 2 trapezoid arent parallel,two short lines opposite side longer line,straight line,perimeter sharper angles,rectangle square,made shapesshapes center,triangle parallel,lines dont cross right angles,two shapes,made shapesshapes center,black dot attached line,quadrilateral,parallel lines,large space 2nd 3rd dot instead 1st 2nd,triangle sides parallel
wrong orientation rotation,curved line,unevenly spread,shape perfect trapezoid,symmetrical,dot middle line,indented shape,dot parallel,different orientation,trapezoid,little triangle small,dot outside shape,perpendicular,different orientation,flipped shape,flipped shape,shapes flipped,widest angle,dot center,shapes mirror,shapes flipped,dot father away,hole shape,dot closer edge line,shape complete,flipped shapes,lines parallel,least parallel,image flipped,straight line,diamond,rectangle,symmetrical,rotated shapes,uneven angles,2 shapes,symmetrical,dot line,triangle,parallel lines,dots evenly split,orientation
shapes pointing direction,line straight,dots equal distances apart,shape,line reflection,circle center line,shape concave side,circle line segment,reflected image rotated,parallelogram,shapes greater change size,dot outside shape,perpendicular instead,sides length,reflected image,facing direction reflected image rotated,mirror images,severe angle,dot center circle,shapes reflected,shapes reflected,dot line,complete hole shape,dot closer line end proportion length,lines connected shape,triangles different orientation,lines parallel,parallelogram,reflected image,line straight curved,rectangle parallelogram,rectangular square,easy line reflection easily mirrored,triangles facing direction,perpendicular,two shapes instead one,easy line reflection,dot line,triangular quadrangular,lines parallel angled,groups two dots rather 3 1,flat side second triangle facing dot
different shape,curved line,dot away,dot placement,less symmetrical,dot centered,c shape rather solid shape,dot centered line,rotation shape,parallelogram,different placement triangles,dot inside line,different angle small line,equilateral triangle,circle facing left,rotation shape,rotation triangle,right triangle,white dot centered,angle triangles,rotation triangle,location dot,solid black,location dotfurther left,shape isnt closed,different placement 2 triangles,lines parallel,wider one side,short lines facing left,straight line instead curved,shape angle different,rectangle square,less symmetrical,direction theyre pointing,angle lines,2 shapes 1,less symmetrical,dot line,triangle quadrilateral,parallel slanted lines,2 dots separated 1,triangles pointing direction
tips alligned line,curved line,1 dot seperated,weird,symmetrical,dot middle,less cohesive shape,dot side line,orientation,longer one side,size variation,dot outside shape,right angle created,taller height,facing different direction,blob facing different direction,symmetrical,right angle,dot center,symmetric,symmetrical,dot distance line,space middle,dot farther left others,openended shape,facing different directions,parallel lines,weird,facing different direction,straight line,diamond shape,square,symmetrical,alignment shape,right angle created,two different shapes,symmetrical,dot line,three sides,parallel lines,dot spacing 22,shapes parallel
different orientation,curve,ratio distance larger,dot shorter base trapezoid,symmetric,dot centre,shape little weird,dot top line,line left side,trapezoid,ratio two triangles,dot outside curve,perpendicular,shape different,line right side circle,line left side circle,symmetric,angle large,dot centre,symmetrical,symmetric,distance dot line,hole,ratio dot line,curve,different orientation,parrellel,set parallel borders,different orientation,straight line,symmetric shape,square,symmetric,different orientation,angle different,two parts,symmetric,dot line,triangle,parallel,distance middle two larger,different orientation
turned outward inward,line curved straight,gaps dots evenly spaced,dot left side,asymmetrical,dot mark center line,part shapes border curving inward,dot unaligned line,pointing clockwise counterclockwise,parallelogram,smaller shape decreased even proportion,dot located outside borders,lines perpendicular,sides length,pointing counterclockwise clockwise,circle right side line pointing clockwise counterclockwise,shapes mirror flipped,angle obtuse,dot center circle,shapes mirrorflipped,shapes mirror flipped,dot away line,portion missing within shape,dot placed left,shape closed,two shapes oriented direction,lines parallel,equal sides,two horizontal lines rightward vertical line,line curved,rectangle,rectangle square,asymmetrical,shapes oriented different direction,lines perpendicular,two shapes one,asymmetrical,dot placed line,three borders,lines parallel,gaps dots increasing size,dot two parallel borders
know wrong,curved shape,dots spaced,position,symmetrical,dot far,incomplete,dot straight line,wasnt goofy looking,sets sides dont equal one another,doesnt flow well,dot outside,line sticking diagonal,thcik,facing different way,different way faced,different size,different type triangle,larger size,doesnt point straight,tilted normal others,dot far away line,hole middle,dot far,incomplete,placed others,arent parallel,trapezoid,backwards,different shape line,rectangle,different shape,odd looking,set others,spacing crosses smaller,two parts,symmetrical flipped,dot,four sides,parallel,dots far apart,oddly spcaed
asymmetric,bent line,different spacing,parallels,symmetrical,dot centered,indent,dot line aligned,flipped,parallelagram,size,dot outside shape,different angles formed,different kind triangle,flipped opposite direction,rotation reflection,reflection line,different angle size,dot centered,reflection line,reflection line,dot line,hole,different dot placement,closed,shapes facing different directions,lines parallel,angle,different direction,straight bent,different rotation,square,symmetrical,different directions,perpendicular,two pieces 1,symmetrical,dot line,three sides,lines parallel,dots spaced differently,dot sides
shapes face towards dot,curvy straight,dots equally spaced,looks weird,asymmetrical,dot center,shape curves convex,dot line line,lines right side line left,trapazoid,smaller triangle lot smaller ex,dot outside shape,perpendicular,equilateral triangle,dot opposite side,shape,asymmetrical folded wouldnt match,right triangle,white dot centered,asymmetrical,aymmetrical,dot farthest line,hole middle,dot farthest left,continuous,triangles facing eachother side side,parallel,shapes resemble trapezoid,lines left side vertical line,straight curvy,rectangle,square,asymetrical,triangles arent lined,lines perpendicular,two shapes one,asymmetrical,dot line,triangle,parallel,dots pairs 3 close one far,points triangles facing direction
