,numWords,numNouns,numAdj,numAdv,numNumbers,simRatio,wordMatch,semanticSim,w2vSimilarity,SIF_aveSimilarity,numNoContent,aveNoContent
Transformation-rotation (34),2.590909091,1.590909091,0.409090909,0.090909091,0.045454545,0.05995671,0.142857143,0.27527124,0.069228701,0.153714868,4,0.173913043
Geometry-line-2 (10),1.909090909,1.045454545,0.090909091,0,0,0.396536797,0.87012987,0.544159458,0.099794884,0.065518412,0,0
Series-Arithmetic (43),3.136363636,1.545454545,0.454545455,0.318181818,0.409090909,0.085181749,0.285714286,0.246093965,0.11323244,-0.025945372,0,0
Geometry-Diagonals (22),2.227272727,1.681818182,0.181818182,0.136363636,0.045454545,0.070294785,0.181818182,0.273565878,0.051310324,0.146460481,3,0.136363636
Transformation-axialsymmetry-vertical (27),2.181818182,1.272727273,0.363636364,0.045454545,0.045454545,0.045990517,0.0995671,0.152761145,0.059603058,0.034194722,1,0.043478261
Geometry-Midpoint (19),2.727272727,2.045454545,0.136363636,0.090909091,0.136363636,0.374613482,1.017316017,0.59209618,0.139773251,0.044503679,0,0
Geometry-Convexity (9),2.363636364,1.409090909,0.318181818,0.136363636,0,0.132460661,0.311688312,0.263531406,0.091675834,0.110056186,0,0
Geometry-line-3 (11),2.818181818,1.863636364,0.363636364,0.136363636,0,0.47393321,1.354978355,0.659315318,0.179141468,-0.023976139,0,0
Geometry-Proportion1-3 (21),3.409090909,2.181818182,0.363636364,0.545454545,0.045454545,0.2309883,0.83982684,0.450163919,0.165993946,0.103049104,0,0
Geometry-Parallelogram (25),1.772727273,1.272727273,0.181818182,0.045454545,0.136363636,0.17017797,0.242424242,0.338222907,0.050445664,0.111098743,0,0
Geometry-Proportions (39),2.909090909,1.727272727,0.909090909,0.181818182,0.045454545,0.08199434,0.251082251,0.34687663,0.115769021,-0.040699256,2,0.083333333
Topology-Inside-Outside (4),3,1.772727273,0.227272727,0.045454545,0,0.570239813,1.718614719,0.70767253,0.203179339,0.027399444,0,0
Geometry-Rightangle-3 (15),2.818181818,1.5,0.545454545,0.227272727,0.181818182,0.100985835,0.277056277,0.295421115,0.095987393,0.112472255,0,0
Geometry-Equilateraltriangle (20),2.045454545,1.181818182,0.636363636,0.090909091,0.045454545,0.136188415,0.303030303,0.325511594,0.065370053,0.146825906,1,0.038461538
Geometry-Parallels-2 (40),1.954545455,1.227272727,0.454545455,0.045454545,0,0.654978355,1.458874459,0.826655989,0.140053499,-0.022908802,0,0
Geometry-Chirality-1- (38),3,2,0.454545455,0,0.045454545,0.062951094,0.255411255,0.33505168,0.10815985,0.003074881,3,0.130434783
Geometry-axialsymmetry-vertical- (28),1.727272727,0.727272727,0.636363636,0.090909091,0,0.104906205,0.147186147,0.169038261,0.042092401,0.00837766,2,0.086956522
Geometry-Rightangle-1 (13),2.409090909,1.272727273,0.454545455,0.318181818,0.136363636,0.171861472,0.354978355,0.321692651,0.080924167,0.140694928,0,0
Geometry-Circle-2- (18),2.772727273,2.045454545,0.454545455,0,0,0.465609715,1.307359307,0.613991942,0.156419548,0.010836891,0,0
Transformation-axialsymmetry-horizontal (33),2.136363636,1.272727273,0.363636364,0.090909091,0,0.059692784,0.134199134,0.162642105,0.063584581,0.00037721,0,0
Transformation-axialsymmetry-mixed (35),2.181818182,1.363636364,0.272727273,0,0,0.060358689,0.134199134,0.16447025,0.060787386,0.019454106,0,0
Geometry-Distance (16),3.136363636,1.954545455,0.318181818,0.681818182,0,0.538528139,1.748917749,0.652227281,0.206926937,-0.020195856,0,0
Topology-Holes (3),2.090909091,1.681818182,0.318181818,0,0,0.291609977,0.640692641,0.534038649,0.087011982,0.023345019,0,0
Geometry-Chirality-4 (44),3.090909091,1.727272727,0.590909091,0.136363636,0.090909091,0.047909714,0.225108225,0.284040047,0.105962111,-0.037960074,1,0.041666667
Topology-Closure (5),2.090909091,1.318181818,0.272727273,0.045454545,0,0.151937745,0.376623377,0.266752553,0.055841669,-0.0243449,0,0
Transformation-homothety (36),2.863636364,1.545454545,0.590909091,0,0.136363636,0.095602281,0.307359307,0.299932268,0.10501003,0.146064932,0,0
Geometry-Parallels-1- (37),1.954545455,1.5,0.136363636,0.090909091,0,0.394853295,0.766233766,0.489191157,0.086723723,0.309186598,0,0
Geometry-Trapezoid (26),2.045454545,1.363636364,0.318181818,0.045454545,0.181818182,0.046567718,0.108225108,0.242415051,0.043509279,0.068324434,3,0.130434783
Geometry-Chirality-3 (42),2.909090909,1.318181818,0.727272727,0.136363636,0.090909091,0.111603019,0.363636364,0.343188507,0.104974064,0.020343358,1,0.041666667
Geometry-line-1 (8),2.272727273,1.045454545,0.545454545,0.227272727,0,0.518841476,1.333333333,0.600832122,0.136920106,0.328370791,0,0
Geometry-Rectangle (24),1.818181818,1.363636364,0.181818182,0.045454545,0.090909091,0.119562977,0.181818182,0.304009972,0.057625557,-0.009364783,0,0
Geometry-Square (23),1.681818182,1.409090909,0.136363636,0.090909091,0,0.425036075,0.731601732,0.578425879,0.082331184,0.288616809,1,0.045454545
Geometry-axialsymmetry-randomaxis (30),1.863636364,0.863636364,0.5,0.090909091,0,0.054566069,0.082251082,0.111862953,0.043690366,0.010554345,1,0.045454545
