ResponseID,qid,question,subq_id,subq_label,response,subjCode,no_content
R_31zu4hqhDXdgp8O,,,diff.1.3.,Topology-Holes (3),there is a hole in the middle of the shape.,gvi_engDescr_110,0
R_2AMXEuLmrSSErpc,,,diff.1.3.,Topology-Holes (3),Empty space in shape,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.3.,Topology-Holes (3),hole in shape,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.3.,Topology-Holes (3),Complete hole in shape,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.3.,Topology-Holes (3),Not solid black,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.3.,Topology-Holes (3),Space in middle,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.3.,Topology-Holes (3),there is a hole in it,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.3.,Topology-Holes (3),a portion missing within shape,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.3.,Topology-Holes (3),has a hole in the middle,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.3.,Topology-Holes (3),Has a hole,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.3.,Topology-Holes (3),hole in middle,gvi_engDescr_130,0
R_3QDX3HP0yiiNzmE,,,diff.3.3.,Topology-Holes (3),Vacant in the center,gvi_engDescr_105,0
R_2PBBUv1gTdHRAqC,,,diff.3.3.,Topology-Holes (3),Hole,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.3.,Topology-Holes (3),hole in middle of shape,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.3.,Topology-Holes (3),A whole in the shape,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.3.,Topology-Holes (3),a space in the middle,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.3.,Topology-Holes (3),a whole,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.3.,Topology-Holes (3),has an interior cutout,gvi_engDescr_133,0
R_qQGYZSFzXZMzfvb,,,diff.4.3.,Topology-Holes (3),has a white spot,oddOneOut_101_test8,0
R_2zOzGSlpICiYQ9A,,,diff.4.3.,Topology-Holes (3),hole in the middle of the shape,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.3.,Topology-Holes (3),a hole in the shape,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.3.,Topology-Holes (3),Hole in middle of shape,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.3.,Topology-Holes (3),Whole in the shape,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.3.,Topology-Holes (3),hole in shape,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.3.,Topology-Holes (3),the color,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.4.,Topology-Inside-Outside (4),Dot is outside of shape,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.4.,Topology-Inside-Outside (4),dot outside shape,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.4.,Topology-Inside-Outside (4),Dot outside of shape,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.4.,Topology-Inside-Outside (4),dot not inside line,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.4.,Topology-Inside-Outside (4),Dot outside shape,gvi_engDescr_132,0
R_2fBaNefS4WQ4aSv,,,diff.2.4.,Topology-Inside-Outside (4),dot is outside the curve,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.4.,Topology-Inside-Outside (4),dot located outside borders,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.4.,Topology-Inside-Outside (4),dot on outside,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.4.,Topology-Inside-Outside (4),Dot outside of shape,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.4.,Topology-Inside-Outside (4),dot outside shape,gvi_engDescr_130,0
R_2PBBUv1gTdHRAqC,,,diff.3.4.,Topology-Inside-Outside (4),Position of dot,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.4.,Topology-Inside-Outside (4),dot outside of figure,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.4.,Topology-Inside-Outside (4),Dot on the outside of shape,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.4.,Topology-Inside-Outside (4),the dot is outside the shape,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.4.,Topology-Inside-Outside (4),dot outside,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.4.,Topology-Inside-Outside (4),"circle on outside, not inside",gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.4.,Topology-Inside-Outside (4),The black dot is not contained within the shape,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.4.,Topology-Inside-Outside (4),the dot is outside the shape,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.4.,Topology-Inside-Outside (4),The dot is not inside the shape like in the others.,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.4.,Topology-Inside-Outside (4),Dot is outside of figure,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.4.,Topology-Inside-Outside (4),dot outside of shape,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.4.,Topology-Inside-Outside (4),position,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.5.,Topology-Closure (5),Perimeter does not connect,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.5.,Topology-Closure (5),shape not complete,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.5.,Topology-Closure (5),Lines not connected; not a shape,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.5.,Topology-Closure (5),Shape isn't closed,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.5.,Topology-Closure (5),Open-ended shape,gvi_engDescr_132,0
R_1db5XLzFlF1OpoV,,,diff.2.5.,Topology-Closure (5),open,oddOneOut_102,0
R_2UarAhVCOxCkwd1,,,diff.2.5.,Topology-Closure (5),has an open while the rest do not,oddOneOut_101,0
R_2fBaNefS4WQ4aSv,,,diff.2.5.,Topology-Closure (5),it is only a curve,gvi_engDescr_112,0
R_ZgvtPxJ1brQuX97,,,diff.2.5.,Topology-Closure (5),shape not closed,gvi_engDescr_118,0
R_1Fmmct8CS7tA9kg,,,diff.2.5.,Topology-Closure (5),incomplete,gvi_engDescr_124,0
R_VLjMzvo3e3k8kmd,,,diff.2.5.,Topology-Closure (5),Not closed,gvi_engDescr_127,0
R_3hFwSdB8peLNVpe,,,diff.2.5.,Topology-Closure (5),not continuous,gvi_engDescr_130,0
R_3efub8ocXmZSrkp,,,diff.3.5.,Topology-Closure (5),the shape is open,gvi_engDescr_111,0
R_2PBBUv1gTdHRAqC,,,diff.3.5.,Topology-Closure (5),Disconnected,gvi_engDescr_115,0
R_dpcUXRyEFMpmos9,,,diff.3.5.,Topology-Closure (5),incomplete figure,gvi_engDescr_116,0
R_1lh6k6dMrUeAQpm,,,diff.3.5.,Topology-Closure (5),Doesn't form a closed shape,gvi_engDescr_121,0
R_sFPYvdhUYOnThHH,,,diff.3.5.,Topology-Closure (5),just a line not a shape,gvi_engDescr_125,0
R_3L783jUrynuU4W0,,,diff.3.5.,Topology-Closure (5),not complete,gvi_engDescr_129,0
R_1It8Ou5UAdG2WKl,,,diff.3.5.,Topology-Closure (5),not an enclosed shape,gvi_engDescr_133,0
R_2zOzGSlpICiYQ9A,,,diff.4.5.,Topology-Closure (5),The shape is not completely closed. It has an opening,gvi_engDescr_114,0
R_W1LMT2IoWTlQ8sp,,,diff.4.5.,Topology-Closure (5),the line doesn't connect,gvi_engDescr_117,0
R_2dtMh5g2OfCmCBi,,,diff.4.5.,Topology-Closure (5),shape is not complete,gvi_engDescr_120,0
R_3EijZNnFAKg7vFf,,,diff.4.5.,Topology-Closure (5),opening in the shape,gvi_engDescr_122,0
R_2pQMB1AiUu3SvUA,,,diff.4.5.,Topology-Closure (5),lines don't connect,gvi_engDescr_126,0
R_1FwRtnjOPXLOav2,,,diff.4.5.,Topology-Closure (5),not in a whole shape,gvi_engDescr_131,0
R_2AMXEuLmrSSErpc,,,diff.1.6.,Topology-Connexity (6),Two shapes,gvi_engDescr_113,0
R_bO6zhS2LPMenbbj,,,diff.1.6.,Topology-Connexity (6),2 shapes,gvi_engDescr_119,0
R_1jjIkCmmHGItkRM,,,diff.1.6.,Topology-Connexity (6),Two shapes instead of one,gvi_engDescr_123,0
R_yCn5gKcjZR9k6lj,,,diff.1.6.,Topology-Connexity (6),2 shapes not 1,gvi_engDescr_128,0
R_Re2WkM0GOcEF54d,,,diff.1.6.,Topology-Connexity (6),Two different shapes,gvi_engDescr_132,0
