subq_label,subjCode,response,response_noStopWords,count_wordsNounAdjAdvNum,count_wordsNounAdjAdvNum_noStop
Topology-Holes (3),gvi_engDescr_110,there is a hole in the middle of the shape.,hole middle shape,"10, 3, 0, 0, 0","3, 3, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_113,Empty space in shape,empty space shape,"4, 2, 1, 0, 0","3, 2, 1, 0, 0"
Topology-Holes (3),gvi_engDescr_119,hole in shape,hole shape,"3, 2, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_123,Complete hole in shape,complete hole shape,"4, 2, 1, 0, 0","3, 2, 1, 0, 0"
Topology-Holes (3),gvi_engDescr_128,Not solid black,solid black,"3, 0, 2, 1, 0","2, 0, 2, 0, 0"
Topology-Holes (3),gvi_engDescr_132,Space in middle,space middle,"3, 2, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_112,there is a hole in it,hole,"6, 1, 0, 0, 0","1, 1, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_118,a portion missing within shape,portion missing within shape,"5, 2, 0, 0, 0","4, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_124,has a hole in the middle,hole middle,"6, 2, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_127,Has a hole,hole,"3, 1, 0, 0, 0","1, 1, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_130,hole in middle,hole middle,"3, 2, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_105,Vacant in the center,vacant center,"4, 1, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_115,Hole,hole,"1, 1, 0, 0, 0","1, 1, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_116,hole in middle of shape,hole middle shape,"5, 3, 0, 0, 0","3, 3, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_121,A whole in the shape,whole shape,"5, 2, 0, 0, 0","2, 1, 1, 0, 0"
Topology-Holes (3),gvi_engDescr_125,a space in the middle,space middle,"5, 2, 0, 0, 0","2, 2, 0, 0, 0"
Topology-Holes (3),gvi_engDescr_129,a whole,whole,"2, 1, 0, 0, 0","1, 0, 1, 0, 0"
