1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
empty space within shape,hole middle shape,hole blob,different shape hole middle,gap middle shape,hole figure,shape cutout hole inside,hole,hole shape,shape contain hole,hole middle,hole center,empty shape center,hole middle shape,space inside
circle within shape,dot outside shape,dot outside blob,different shape ball outside shape,dot outside image,point figure,black circle outside shape instead inside,dot,dot outside shape,different dot orientation,dot outside shape,dot outside shape,dot outside shape,dot outside shape,different dot placement
shape open,shape open,enclosed,line opened,shape fully enclosed,closed,shape closed,line connected way,line solid,open shape closed,gap line,line connected,shape isnt connected,shape closed,open space incomplete
two shapes one,amount shapes,2 blobs,two shapes,2 shapes,two figures,two shapes instead one,two shapes,two shapes,two shapes one,one shape,separated two,two different shapes,2 shapes,double single
dot line,dot line,dot touched line,ball line,dot line,point line,small black circle line,dot line,dot line,different dot orientation,dot isnt line,dot attached,dot isnt line next,dot touching line,unattached dot
straight line,line curved,line straight,straight line,line straight,straight line,line straight instead curved,line straight,line straight,straight line curved,line isnt curved,line straight curved,straight line without curves,line straight,straight curved
shape goes inward,curved shape,blob different shape,shape cut curved shape,one seems incomplete,concave side,shaped like moon circletriange,curved inside,shape indented,concave shape,isnt circular,dented middle,shape dent center,shape symetrical,curved shape
line curved,curve,angle bend,curved line,line curved,curved line,line curved instead straight,curved,line curved,curved line straight,straight line,line curved straight,line slight curve center,line straight,curved straight
circle straight line line,dot side,dot weird angle,ball side,dot side line,point aligned end line,small black circle line line,dot line,dot lined,dot orientation,dot isnt inline line,dot inline line,dot directly top line,dot line line,different dot placement
three sides,three sides,3 sided,triangle,triangle variation square,quadrilateral,shape three sides instead four,shape wrong,quadrilateral,triangle four sides,isnt foursided,3 sides,triangle shape,shape 3 sides,different shape
angle 90 degrees,thin triangle,triangle diff shape,flatter triangle,longer base,right triangle,triangle right triangle,triangle almost flat,right angle,flat triangle tall,doesnt 90 degree angle,shape thinner,shape triangle tip top,different angle,different angle
lines perpendicular,length lines,orientation angles different,different orientation,angels right angels,perpendicular,two lines intersect right angles,x slanted,crossed different angle,flatter cross plus,doesnt 90 degree angle,crosses like x,one line longer,lines crossed closer,different angle
lines perpendicular,orientation line,perpendicular angle,smaller line slanted,two lines form right angle,perpendicular,smaller line meet large line right angle,middle line slanted,right angle,center line orientation,angles arent 90 degrees,branch different orientation,extra line diagonal line isnt straight like others,small line perpendicular,curved line
dot farther line,dot line,dot far away,ball spaced farther,dot close line,point far line,small black circle line others,dot high,dot far line,different dot orientation,dot line,objects spaced apart,dot spaced compared dotline pair,dot away line,different dot placement
circle bigger,dot centered shape,white dot center,dot center,white dot centered,point centered,white circle center big circle,white dot centered,dot offcentered,different dot orientation,hole isnt centered,dot center,white dot center circle,dot middle cirlce,different dot placement
dot middle line,dot centered,dot offcenter,dot near end,dot lower line,point middle line,black dot left hand side line,dot centered,dot centered,uncentered dot centered,marker less 50,dot centered,dot center,dot middle line,different dot placement
equilateral triangle,corner facing left,isoceles triangle,skinnier triangle,sides even,equilateral triangle,triangle pointed others,long skinny,equilateral triangle,tall triangle short,one length,shape leaner,triangle different shape others longer sides,shape narrow,different dot placement
least amount space left side dot,line longest,position dot extreme,longer line,dot closer edge,point far left,black circle left line others,dot side line,dot farther left,dot orientation,marker less 13,dot closer edge,dot close center like lines,dot closer beginning,different dot placement
dot closest longest side,dot wider side,slightly larger,cannot figure one,white dot closer acute angel,point centered,small white circle situated narrow end shape,dot wrong,dot longer side,different orientation,hole closer long side,sides inequal,shape bigger others,dot closest left side,rectangle square
shape rectangle,rectangle,nothing,rectangle versus square,square,square,shape rectangle square,rectangle,square,rectangle square,isnt square,square,rectangle,shape rectangle,stretched shape
different shape,oblong rectangle,parallel lines,box slanted,rectangle,right angles,shape quadrilateral rectangle,lines slatned,rhombus rectangle,diamond rectangle,doesnt 90 degree angles,rectangle,rectangular shape diagonal lines,shape straight sides,different shape
rhombus,one wide end,rhombus,point top,2 sides length seem match,paralellogram,shape trapezoid instead parallelogram,top missing,unequal length shape sides,trapezoid paralellogram,sides two different lengths,square rectangle,diagonal rectangular shape,sides different size,different shape
different shape,width shape,nonmatching sides,wider shape,2 side match length,quadrilateral,shape quadrilateral,shape wrong,unequal sides,different shape orientation,four sides,distorted angles,shape isnt rectangular shaped,2 sides,different size
shapes mirror images,facing different direction rest,general shape triangles,wide sections,sides equally long,display reflection,triangle mirror images like others,pointing left,mirror images different sized shapes,different orientation,shapes facing exact direction,shapes angled direction,triangles exact reflection,shapes parralel,uneven stack
different shape,shape symmetrical,asymmetrical jagged,wide middle versus ends,symatrical,lines symmetry,one jagged part larger others,crinkles irratic,shape symmetrical,different orientation,cant evenly split vertically,jutting sides unequal,pointy sides dont match,shape symetrical,stacked unevenly
different shape,shape isnt symmetrical,jagged angles,wide end,rotate shape remain,lines symmetry,peaks jagged,crinkles irratic,shape symmetrical,shape orientation,cant evenly split horizontally,aesthetic point,top bottom tips dont match,shape symetrical,opposite facing parts
different shape,shape symmetrical,jagged,points face,symatrical,figure line symmetry,shape tilted right angle,crinkles pattern,shape asymmetrical,different shape orientation,halves arent identical split horizontally,jagged edges uneven,pointy tips match tips different size top biggersmaller bottom,shape ends,facing opposite directions
orientated differently relation one another,shape arent orientated way,aligned,point end towards dot,second symbol flipped one,oriented direction,triangles oriented direction others,facing wrong,second shape reversed,different orientation,shapes facing opposite directions,points facing,pointy tips triangle facing,shapes parallel,different dot placement
mirror images either side dot,point triangle dot,direction triangles pointing,pointed angle,angle base facing dot,point reflective,point one triangle points black circle,tow triangles facing directions,shapes reversed,different orientation,triangles face direction,shapes pointing direction,direction triangles facing side direction,shapes parallel,different direction
mirror images,top points arent coming together,direction points,bigger shapes,shapes werent flipped side line,relfection,triangles point directed upper left,orientation wrong,shapes mirrored,different orientation,shapes arent parallel center line,shapes pointing right,triangles evenly shaped others,shapes pointing,facing different direction
triangles equilateral,orientation shapes lines,uhm nothing,wider triangles,one symbol uprite whill point,figures dotted line,two triangles mirror image flipped,triangles facing wrong,different orientation one shape,different orientation,shapes facing different directions,shapes facing opposite direction,shapes opposites sides get close would actually fit together,shapes,different direction
mirror images either side line,orientation triangles,shapes alignment,pointing toward,second shape seems little big smaller,reflection,triangles oriented instead mirrored,facing direction,shapes mirrored,different orientation,shapes arent parallel center line,triangle shapes wider,triangles thicker others,angle different,facing opposite directions
orientation,direction shapes pointing,lines parallel,spaced angle,enlarged symbol flipped upside,shapes aligned,small triangle mirror image flipped compared big triangle,angle wrong,mismatched shape orientations,shape orientation,shapes arent facing direction,points facing,tips triangle pointing,large difference size,parallel
lines parallel,parallel,position black dot,ball right side,two lines parellel,potentially intersecting,two lines parallel diverging,lines pointing opposite,lines parallel,shapes orientation,lines arent parallel,lines parallel,lines angle two ends facing,angles,facing different direction
different orientation,line veritcal,small triangle,size bigger comparison,upright facing right,point facing clockwise,line left circle straight,upside,dot right,different orientation,isnt facing left,line left,circle top right,cirlce right side line,different shape angle
smaller triangle smaller smaller triangles,different length,lines parallel,lines sat straight angle,two shapes pointing side,aligned,small triangle much smaller big triangle compared others,triangle really large one really small,small shape top,shape orientation,shapes arent size,second shape smaller,small triangle lot smaller compared big one,large size difference,parallel lines
different orientation,lines parallel,ball facing left,ball left,two lares parallel,lines parallel potentially intersecting,lines parallel,two lines paralell,lines parallel,different orientation,lines parallel,lines parallel,evenly spaced apart,lines parallel,opposite facing
line right side circle,facing different direction,points facing wrong way,2 small lines pointed left,shape facing left,point facing right,line righthand side circle instead left,facing wrong,dot left,different orientation,isnt facing right,top pointing left,black circle facing left side instead right side,circle left line,facing opposite direction
horizontal lines left side vertical line,two lines different side,spacing symmetric,space one dots,symbol faceing left,lines oriented right,two small lines left line instead right,facing left,lines point left,different orientation,doesnt face right,attached bars towards left,f backwards,2 lines left,different dot placement
bigger space dots,dots evenly spaced,facing adn right,2 lines face right,highest dot little farther rest,dots spaced,small circles perfectly spaced,space two dots,unequal dot spacing,spaced dot continuous dots,dots arent evenly spaced,one dot separate,last dot separated 3 dots,dots spacing,different direction
different orientation,orientation long line,larger spacing dots,dots spaced apart pairs,symbol uprite others,oriented counter clockwise,two small lines point downward lower right,lines wrong angle,lines point right,different orientation,isnt facing left,attached bars facing right,one flipped correct way,2 lines right,different arrangement
unique arrangement dots,dots paired,,,even amount dots big space,two points separated line,dots clustered two close sets two instead random,space wrong,different division dots,different shape orientation,doesnt group 3 dots,spit equal,dots separated two one side two,spacing different,
