diff(38),diff(6),diff(15),diff(39),diff(36),diff(42),diff(29),diff(11),diff(8),diff(12),diff(32),diff(24),diff(45),diff(30),diff(26),diff(4),diff(20),diff(34),diff(22),diff(18),diff(3),diff(5),diff(37),diff(14),diff(16),diff(43),diff(10),diff(28),diff(41),diff(40),diff(9),diff(13),diff(25),diff(33),diff(44),diff(27),diff(7),diff(31),diff(21),diff(19),diff(23),diff(35)
different orientation,two shapes one,lines perpendicular,smaller triangle smaller smaller triangles,orientation,horizontal lines left side vertical line,different shape,circle straight line line,straight line,three sides,mirror images either side dot,different shape,unique arrangement dots,different shape,different shape,circle within shape,equilateral triangle,triangles equilateral,dot closest longest side,circle bigger,empty space within shape,shape open,lines parallel,lines perpendicular,dot farther line,bigger space dots,line curved,different shape,line right side circle,different orientation,shape goes inward,angle 90 degrees,rhombus,mirror images,different orientation,shapes mirror images,dot line,orientated differently relation one another,least amount space left side dot,dot middle line,shape rectangle,mirror images either side line
line veritcal,amount shapes,orientation line,different length,direction shapes pointing,two lines different side,shape isnt symmetrical,dot side,line curved,three sides,point triangle dot,oblong rectangle,dots paired,shape symmetrical,width shape,dot outside shape,corner facing left,orientation shapes lines,dot wider side,dot centered shape,hole middle shape,shape open,parallel,length lines,dot line,dots evenly spaced,curve,shape symmetrical,facing different direction,lines parallel,curved shape,thin triangle,one wide end,top points arent coming together,orientation long line,facing different direction rest,dot line,shape arent orientated way,line longest,dot centered,rectangle,orientation triangles
position black dot,2 blobs,perpendicular angle,small triangle,shapes alignment,points facing wrong way,jagged angles,dot weird angle,line straight,3 sided,point end towards dot,parallel lines,larger spacing dots,jagged,nonmatching sides,dot outside blob,isoceles triangle,direction points,slightly larger,white dot center,hole blob,enclosed,lines parallel,orientation angles different,dot far away,spacing symmetric,angle bend,asymmetrical jagged,ball facing left,lines parallel,blob different shape,triangle diff shape,rhombus,direction triangles pointing,facing adn right,general shape triangles,dot touched line,aligned,position dot extreme,dot offcenter,nothing,uhm nothing
ball right side,two shapes,smaller line slanted,size bigger comparison,pointing toward,2 small lines pointed left,wide middle versus ends,ball side,straight line,triangle,angle base facing dot,box slanted,dots spaced apart pairs,wide end,point top,different shape ball outside shape,skinnier triangle,bigger shapes,cannot figure one,dot center,different shape hole middle,line opened,spaced angle,different orientation,ball spaced farther,space one dots,curved line,wide sections,ball left,lines sat straight angle,shape cut curved shape,flatter triangle,2 sides length seem match,pointed angle,2 lines face right,wider shape,ball line,points face,longer line,dot near end,rectangle versus square,wider triangles
upright facing right,2 shapes,two lines form right angle,two shapes pointing side,enlarged symbol flipped upside,symbol faceing left,rotate shape remain,dot side line,line straight,triangle variation square,point reflective,rectangle,even amount dots big space,symatrical,2 side match length,dot outside image,sides even,one symbol uprite whill point,white dot closer acute angel,white dot centered,gap middle shape,shape fully enclosed,two lines parellel,angels right angels,dot close line,highest dot little farther rest,line curved,symatrical,shape facing left,two lares parallel,one seems incomplete,longer base,paralellogram,shapes werent flipped side line,symbol uprite others,sides equally long,dot line,second symbol flipped one,dot closer edge,dot lower line,square,second shape seems little big smaller
point facing clockwise,two figures,perpendicular,aligned,shapes aligned,lines oriented right,lines symmetry,point aligned end line,straight line,quadrilateral,point one triangle points black circle,right angles,two points separated line,figure line symmetry,quadrilateral,point figure,equilateral triangle,figures dotted line,point centered,point centered,hole figure,closed,potentially intersecting,perpendicular,point far line,dots spaced,curved line,lines symmetry,point facing right,lines parallel potentially intersecting,concave side,right triangle,shape trapezoid instead parallelogram,relfection,oriented counter clockwise,display reflection,point line,oriented direction,point far left,point middle line,square,reflection
line left circle straight,two shapes instead one,smaller line meet large line right angle,small triangle much smaller big triangle compared others,small triangle mirror image flipped compared big triangle,two small lines left line instead right,peaks jagged,small black circle line line,line straight instead curved,shape three sides instead four,tow triangles facing directions,shape quadrilateral rectangle,dots clustered two close sets two instead random,shape tilted right angle,shape quadrilateral,black circle outside shape instead inside,triangle pointed others,two triangles mirror image flipped,small white circle situated narrow end shape,white circle center big circle,shape cutout hole inside,shape closed,two lines parallel diverging,two lines intersect right angles,small black circle line others,small circles perfectly spaced,line curved instead straight,one jagged part larger others,line righthand side circle instead left,lines parallel,shaped like moon circletriange,triangle right triangle,top missing,triangles point directed upper left,two small lines point downward lower right,triangle mirror images like others,small black circle line,triangles oriented direction others,black circle left line others,black dot left hand side line,shape rectangle square,triangles oriented instead mirrored
upside,two shapes,middle line slanted,triangle really large one really small,angle wrong,facing left,crinkles irratic,dot line,line straight,shape wrong,shapes reversed,lines slatned,space wrong,crinkles pattern,shape wrong,dot,long skinny,triangles facing wrong,dot wrong,white dot centered,hole,line connected way,lines pointing opposite,x slanted,dot high,space two dots,curved,crinkles irratic,facing wrong,two lines paralell,curved inside,triangle almost flat,unequal length shape sides,orientation wrong,lines wrong angle,pointing left,dot line,facing wrong,dot side line,dot centered,rectangle,facing direction
dot right,two shapes,right angle,small shape top,mismatched shape orientations,lines point left,shape symmetrical,dot lined,line straight,quadrilateral,different orientation,rhombus rectangle,different division dots,shape asymmetrical,unequal sides,dot outside shape,equilateral triangle,different orientation one shape,dot longer side,dot offcentered,hole shape,line solid,lines parallel,crossed different angle,dot far line,unequal dot spacing,line curved,shape symmetrical,dot left,lines parallel,shape indented,right angle,trapezoid paralellogram,shapes mirrored,lines point right,mirror images different sized shapes,dot line,second shape reversed,dot farther left,dot centered,square,shapes mirrored
different orientation,two shapes one,center line orientation,shape orientation,shape orientation,different orientation,shape orientation,dot orientation,straight line curved,triangle four sides,triangles face direction,diamond rectangle,different shape orientation,different shape orientation,different shape orientation,different dot orientation,tall triangle short,different orientation,different orientation,different dot orientation,shape contain hole,open shape closed,shapes orientation,flatter cross plus,different dot orientation,spaced dot continuous dots,curved line straight,different orientation,different orientation,different orientation,concave shape,flat triangle tall,sides two different lengths,different orientation,different orientation,different orientation,different dot orientation,different orientation,dot orientation,uncentered dot centered,rectangle square,different orientation
isnt facing left,one shape,angles arent 90 degrees,shapes arent size,shapes arent facing direction,doesnt face right,cant evenly split horizontally,dot isnt inline line,line isnt curved,isnt foursided,shapes pointing direction,doesnt 90 degree angles,doesnt group 3 dots,halves arent identical split horizontally,four sides,dot outside shape,one length,shapes facing different directions,hole closer long side,hole isnt centered,hole middle,gap line,lines arent parallel,doesnt 90 degree angle,dot line,dots arent evenly spaced,straight line,cant evenly split vertically,isnt facing right,lines parallel,isnt circular,doesnt 90 degree angle,square rectangle,shapes arent parallel center line,isnt facing left,shapes facing exact direction,dot isnt line,shapes facing opposite directions,marker less 13,marker less 50,isnt square,shapes arent parallel center line
line left,separated two,branch different orientation,second shape smaller,points facing,attached bars towards left,aesthetic point,dot inline line,line straight curved,3 sides,direction triangles facing side direction,rectangle,spit equal,jagged edges uneven,distorted angles,dot outside shape,shape leaner,shapes facing opposite direction,sides inequal,dot center,hole center,line connected,lines parallel,crosses like x,objects spaced apart,one dot separate,line curved straight,jutting sides unequal,top pointing left,lines parallel,dented middle,shape thinner,diagonal rectangular shape,shapes pointing right,attached bars facing right,shapes angled direction,dot attached,points facing,dot closer edge,dot centered,square,triangle shapes wider
circle top right,two different shapes,extra line diagonal line isnt straight like others,small triangle lot smaller compared big one,tips triangle pointing,f backwards,top bottom tips dont match,dot directly top line,straight line without curves,triangle shape,shapes parallel,rectangular shape diagonal lines,dots separated two one side two,pointy tips match tips different size top biggersmaller bottom,shape isnt rectangular shaped,dot outside shape,triangle different shape others longer sides,shapes opposites sides get close would actually fit together,shape bigger others,white dot center circle,empty shape center,shape isnt connected,lines angle two ends facing,one line longer,dot spaced compared dotline pair,last dot separated 3 dots,line slight curve center,pointy sides dont match,black circle facing left side instead right side,evenly spaced apart,shape dent center,shape triangle tip top,sides different size,triangles evenly shaped others,one flipped correct way,triangles exact reflection,dot isnt line next,pointy tips triangle facing,dot close center like lines,dot center,rectangle,triangles thicker others
cirlce right side line,2 shapes,small line perpendicular,large size difference,large difference size,2 lines left,shape symetrical,dot line line,line straight,shape 3 sides,different dot placement,shape straight sides,spacing different,shape ends,2 sides,dot outside shape,shape narrow,shapes,dot closest left side,dot middle cirlce,hole middle shape,shape closed,angles,lines crossed closer,dot away line,dots spacing,line straight,shape symetrical,circle left line,lines parallel,shape symetrical,different angle,different shape,shapes pointing,2 lines right,shapes parralel,dot touching line,shapes parallel,dot closer beginning,dot middle line,shape rectangle,angle different
