,w2v_similarity
diff(38),0.191148872195
diff(6),0.321641431222
diff(15),0.196075449324
diff(43),0.217869921573
diff(39),0.228187205274
diff(42),0.166020660842
diff(29),0.148458386981
diff(11),0.263928896966
diff(7),0.289846224957
diff(12),0.201546391544
diff(32),0.176835146928
diff(24),0.216862416701
diff(45),0.164299521131
diff(30),0.167212840853
diff(26),0.198078941946
diff(18),0.234650712919
diff(20),0.20145784649
diff(34),0.165176263545
diff(22),0.163975956273
diff(36),0.156388912928
diff(3),0.279233839881
diff(37),0.27652105501
diff(8),0.407086409316
diff(14),0.166584280897
diff(16),0.211734749082
diff(4),0.278192017382
diff(10),0.368433492874
diff(28),0.149252352209
diff(41),0.23342330821
diff(40),0.299749621928
diff(9),0.220452300741
diff(13),0.202767402332
diff(5),0.218647147688
diff(25),0.17713673137
diff(33),0.150983774152
diff(44),0.14863939552
diff(27),0.175774657252
diff(31),0.148108004817
diff(21),0.182885048062
diff(19),0.228434070849
diff(23),0.434554047605
diff(35),0.166084500553
