diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2,word1,word2
line,curve,circle,dot,three,three,angle,thin,lines,length,lines,orientation,dot,dot,circle,dot,dot,dot,equilateral,corner,least,line,dot,dot,shape,rectangle,different,oblong,rhombus,one,different,width,shapes,facing,different,shape,different,shape,empty,hole,different,shape,orientated,shape,mirror,point,mirror,top,triangles,orientation,mirror,orientation,orientation,direction,lines,parallel,different,line,smaller,different,circle,dot,different,lines,line,facing,horizontal,two,bigger,dots,different,orientation,unique,dots,shape,shape,two,amount,dot,dot,straight,line,shape,curved
curved,curve,circle,side,three,sides,angle,triangle,lines,lines,lines,line,dot,line,circle,centered,dot,centered,equilateral,facing,least,longest,dot,wider,rectangle,rectangle,different,rectangle,rhombus,wide,different,shape,shapes,different,different,symmetrical,different,isnt,empty,middle,different,symmetrical,orientated,arent,mirror,triangle,mirror,points,triangles,shapes,mirror,triangles,orientation,shapes,parallel,parallel,different,veritcal,smaller,length,circle,outside,different,parallel,line,different,horizontal,lines,bigger,evenly,different,long,unique,paired,shape,open,two,shapes,dot,line,straight,curved,shape,shape
line,angle,straight,dot,sides,three,90,thin,perpendicular,length,perpendicular,orientation,farther,dot,circle,shape,middle,dot,equilateral,left,amount,line,dot,side,shape,nothing,shape,oblong,rhombus,end,shape,width,shapes,direction,shape,shape,different,symmetrical,empty,shape,shape,shape,orientated,orientated,mirror,dot,mirror,arent,triangles,lines,images,orientation,orientation,pointing,lines,lines,orientation,line,triangle,different,circle,shape,orientation,lines,line,direction,horizontal,different,bigger,spaced,different,line,arrangement,dots,open,shape,shapes,amount,line,dot,line,line,goes,curved
line,bend,straight,side,sides,sides,90,triangle,perpendicular,lines,perpendicular,line,farther,line,bigger,dot,middle,centered,triangle,corner,amount,longest,closest,dot,rectangle,nothing,shape,rectangle,rhombus,rhombus,shape,shape,shapes,rest,shape,symmetrical,shape,shape,space,hole,shape,symmetrical,orientated,way,images,point,mirror,coming,equilateral,orientation,images,triangles,orientation,shapes,lines,parallel,orientation,veritcal,triangle,length,within,dot,orientation,parallel,right,facing,horizontal,side,space,dots,orientation,orientation,arrangement,paired,open,open,shapes,shapes,line,line,line,curved,goes,shape
curved,angle,line,dot,three,3,degrees,thin,lines,orientation,lines,perpendicular,line,dot,bigger,centered,line,dot,triangle,facing,space,line,closest,wider,shape,rectangle,different,parallel,rhombus,2,different,nonmatching,mirror,facing,different,asymmetrical,shape,isnt,space,middle,different,jagged,differently,shape,images,triangle,mirror,together,equilateral,shapes,either,orientation,orientation,alignment,parallel,lines,different,position,smaller,different,within,outside,different,lines,right,different,lines,two,space,evenly,orientation,long,dots,dots,shape,enclosed,one,amount,dot,dot,straight,line,inward,curved
curved,bend,line,side,three,sided,degrees,triangle,lines,angles,lines,angle,line,line,bigger,shape,line,centered,triangle,left,space,longest,closest,side,shape,versus,different,lines,rhombus,sides,different,sides,mirror,different,different,jagged,shape,symmetrical,space,shape,shape,jagged,differently,arent,images,dot,images,top,equilateral,lines,either,triangles,orientation,pointing,parallel,parallel,different,black,smaller,length,within,shape,different,parallel,right,direction,lines,lines,space,spaced,orientation,line,dots,paired,open,enclosed,one,shapes,dot,touched,straight,straight,inward,shape
line,curved,line,dot,sides,3,angle,triangle,lines,different,perpendicular,perpendicular,dot,dot,circle,white,dot,dot,equilateral,isoceles,left,line,longest,dot,shape,square,shape,parallel,rhombus,length,shape,nonmatching,mirror,direction,shape,asymmetrical,different,jagged,within,hole,different,wide,differently,orientated,either,point,images,points,triangles,direction,side,orientation,orientation,toward,lines,spaced,different,dot,smaller,different,shape,dot,orientation,lines,side,facing,lines,different,dots,dots,different,facing,unique,larger,shape,line,two,2,dot,line,line,line,shape,blob
line,line,line,side,sides,sided,angle,diff,perpendicular,orientation,perpendicular,angle,dot,far,circle,dot,dot,offcenter,equilateral,triangle,left,longest,longest,wider,rectangle,rectangle,shape,lines,rhombus,seem,shape,sides,mirror,rest,shape,jagged,different,angles,within,middle,different,end,differently,way,either,triangle,images,arent,triangles,points,side,triangles,orientation,enlarged,lines,angle,orientation,position,smaller,length,shape,outside,orientation,parallel,side,different,lines,side,dots,evenly,different,adn,unique,spacing,shape,opened,two,blobs,line,dot,line,straight,shape,different
curved,curved,circle,dot,three,triangle,angle,shape,perpendicular,angles,lines,smaller,dot,away,circle,center,middle,dot,triangle,isoceles,side,line,longest,side,rectangle,versus,different,box,rhombus,match,different,point,images,facing,different,wide,shape,jagged,within,shape,shape,wide,relation,shape,either,dot,images,coming,equilateral,direction,line,orientation,orientation,symbol,parallel,spaced,orientation,black,triangles,different,shape,shape,different,lines,side,direction,left,two,dots,spaced,different,right,unique,dots,open,line,shapes,2,line,touched,straight,straight,shape,shape
curved,line,circle,weird,sides,triangle,90,triangle,perpendicular,different,lines,line,farther,dot,bigger,white,middle,offcenter,triangle,triangle,side,longest,side,dot,rectangle,square,different,slanted,rhombus,paralellogram,different,top,images,different,different,sections,shape,angles,shape,hole,shape,end,relation,arent,side,point,images,together,equilateral,points,line,triangles,orientation,flipped,parallel,angle,orientation,dot,triangles,length,circle,dot,different,sat,circle,facing,left,lines,bigger,spacing,orientation,facing,arrangement,larger,open,opened,shapes,blobs,line,line,straight,line,goes,blob
line,line,circle,angle,three,triangle,90,diff,lines,different,lines,slanted,farther,far,bigger,dot,line,dot,equilateral,skinnier,dot,line,side,wider,shape,square,shape,box,rhombus,shape,shape,point,images,direction,shape,wide,different,wide,shape,middle,different,symatrical,relation,orientated,side,triangle,mirror,direction,triangles,bigger,mirror,uhm,orientation,upside,lines,two,different,ball,smaller,small,circle,outside,different,straight,circle,different,left,different,bigger,symmetric,orientation,adn,arrangement,spacing,shape,shape,one,2,dot,ball,line,straight,goes,different
line,curved,straight,dot,three,variation,90,shape,lines,orientation,perpendicular,smaller,farther,away,bigger,center,line,offcenter,equilateral,triangle,dot,longest,side,side,rectangle,square,shape,slanted,rhombus,trapezoid,shape,top,images,rest,shape,sections,different,middle,shape,shape,shape,symatrical,relation,way,side,dot,mirror,triangles,triangles,shapes,mirror,nothing,orientation,shapes,lines,lines,different,right,smaller,triangle,circle,blob,different,angle,circle,direction,left,side,space,spacing,orientation,right,arrangement,dots,shape,fully,one,blobs,dot,line,line,line,goes,shape
curved,line,straight,weird,three,square,degrees,triangle,perpendicular,different,perpendicular,line,line,dot,circle,dot,dot,dot,triangle,skinnier,least,position,dot,slightly,shape,square,different,rectangle,rhombus,instead,different,2,shapes,general,different,symatrical,different,versus,empty,hole,different,figure,one,shape,dot,point,mirror,pointing,equilateral,bigger,images,uhm,orientation,aligned,lines,parellel,different,side,triangle,small,within,dot,orientation,lines,line,ball,side,two,space,symmetric,different,2,dots,larger,shape,enclosed,two,two,line,ball,straight,line,inward,blob
