,semanticSim
Geometry-Chirality-1- (38),0.335051679658
Geometry-Chirality-2 (41),0.370485705953
Geometry-Chirality-3 (42),0.343188506515
Geometry-Chirality-4 (44),0.284040047343
Geometry-Circle-2- (18),0.613991942382
Geometry-Convexity (9),0.263531406216
Geometry-Diagonals (22),0.273565878496
Geometry-Distance (16),0.652227281407
Geometry-Equilateraltriangle (20),0.325511593879
Geometry-Midpoint (19),0.59209618041
Geometry-Parallelogram (25),0.338222906878
Geometry-Parallels-1- (37),0.489191156574
Geometry-Parallels-2 (40),0.82665598935
Geometry-Proportion1-3 (21),0.450163919096
Geometry-Proportions (39),0.346876629565
Geometry-Quadrilateral (12),0.432598326786
Geometry-Rectangle (24),0.304009971629
Geometry-Rightangle-1 (13),0.321692650752
Geometry-Rightangle-2 (14),0.259399694903
Geometry-Rightangle-3 (15),0.295421114891
Geometry-Square (23),0.578425878838
Geometry-Trapezoid (26),0.242415050586
Geometry-axialsymmetry-horizontal (29),0.132194413864
Geometry-axialsymmetry-randomaxis (30),0.111862953072
Geometry-axialsymmetry-vertical- (28),0.169038261092
Geometry-line-1 (8),0.60083212155
Geometry-line-2 (10),0.544159457734
Geometry-line-3 (11),0.659315318278
Series-Arithmetic (43),0.24609396535
Series-Geometric (45),0.244407660195
Topology-Belongsto (7),0.813441088355
Topology-Closure (5),0.266752553231
Topology-Connexity (6),0.578042381175
Topology-Holes (3),0.534038648906
Topology-Inside-Outside (4),0.707672530295
Transformation-axialsymmetry-horizontal (33),0.162642104986
Transformation-axialsymmetry-mixed (35),0.164470249888
Transformation-axialsymmetry-vertical (27),0.152761144905
Transformation-homothety (36),0.299932267618
Transformation-pointsymmetry (32),0.289131783216
Transformation-rotation (34),0.275271240459
Transformation-translation (31),0.298976232012
