,w2vSimilarity
Transformation-rotation (34),0.0692287007986
Geometry-line-2 (10),0.0997948836933
Series-Arithmetic (43),0.113232440409
Geometry-Diagonals (22),0.0513103243555
Transformation-axialsymmetry-vertical (27),0.0596030584981
Geometry-Midpoint (19),0.139773251247
Geometry-Convexity (9),0.0916758335603
Geometry-line-3 (11),0.179141467926
Geometry-Proportion1-3 (21),0.165993945872
Topology-Closure (5),0.0558416688642
Geometry-Parallelogram (25),0.0504456642723
Geometry-Proportions (39),0.115769020584
Geometry-Rectangle (24),0.0576255570829
Geometry-Rightangle-3 (15),0.0959873928022
Geometry-Equilateraltriangle (20),0.0653700525162
Geometry-Chirality-1- (38),0.108159850337
Geometry-axialsymmetry-vertical- (28),0.0420924014355
Geometry-Rightangle-1 (13),0.0809241668966
Geometry-Circle-2- (18),0.156419548315
Transformation-axialsymmetry-horizontal (33),0.0635845813191
Transformation-axialsymmetry-mixed (35),0.0607873857886
Geometry-Distance (16),0.206926937311
Topology-Holes (3),0.087011981963
Geometry-Chirality-4 (44),0.105962111049
Geometry-Chirality-2 (41),0.126596542157
Transformation-homothety (36),0.105010030472
Geometry-Parallels-1- (37),0.0867237228718
Geometry-Trapezoid (26),0.0435092790773
Geometry-Chirality-3 (42),0.104974063888
Geometry-line-1 (8),0.136920106287
Topology-Inside-Outside (4),0.203179338628
Geometry-Square (23),0.0823311837358
Geometry-axialsymmetry-randomaxis (30),0.0436903661359
Transformation-translation (31),0.0725617302523
Geometry-Rightangle-2 (14),0.0729943659987
Topology-Connexity (6),0.167142103929
Geometry-axialsymmetry-horizontal (29),0.0459817787774
Topology-Belongsto (7),0.144587582722
Geometry-Quadrilateral (12),0.0726444785952
Geometry-Parallels-2 (40),0.140053498763
Series-Geometric (45),0.158630088351
Transformation-pointsymmetry (32),0.100559864754
